role,company,years_of_exp,city,country,gender,currency,salary,mode,period,compensation,verified
Senior Fraud Analyst,Shopee,2,Jakarta,ID,Male,IDR,5660000,Gross,Monthly,,
Officer Deck,Purchase to unlock 👆,2,Jakarta,ID,Female,IDR,18000000,Net,Monthly,,
Anggota Tim Yunior,Purchase to unlock 👆,6,Jakarta,ID,Female,IDR,16000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,0,Jakarta,ID,Male,IDR,6000000,Gross,Monthly,BPJS,
Operational Staff,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,7000000,Gross,Monthly,Medical Insurance,
Software Engineer in Backend,Bukalapak,0,Jakarta,ID,Male,IDR,11500000,Gross,Monthly,"Health insurance, covers 1 wife and 3 children",
Digital Marketing Specialist,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,18000000,Net,Monthly,,
Junior Brand Manager,Purchase to unlock 👆,3,Jakarta,ID,Female,IDR,17500000,Gross,Monthly,,
SEO,Shopee,1,Jakarta,ID,Prefer not to tell,IDR,6500000,Gross,Monthly,,
Senior business development manager,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,21000000,Gross,Monthly,- health insurance benefit - stock option,
Software Development Engineer Lead,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,37000000,Gross,Monthly,"Insurance, potential bonus up to 4x salary per year depending on the company and personal performance",
Product Designer,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,27000000,Gross,Monthly,,
UI/UX Designer,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,8000000,Net,Monthly,,
Website Analyst,Purchase to unlock 👆,4,Jakarta,ID,Prefer not to tell,IDR,15,Gross,Monthly,,Verified
Auditor,Purchase to unlock 👆,1,All over Indonesia,ID,Prefer not to tell,IDR,17000000,Net,Monthly,"BPJS, doctor at the office",
Android Developer,Purchase to unlock 👆,4,Yogyakarta,ID,Male,IDR,5500000,Gross,Monthly,,
Apps Developer,Purchase to unlock 👆,1,Bandung,ID,Male,IDR,9400000,Net,Monthly,-,
Urologist,Purchase to unlock 👆,1,Banyuwangi,ID,Male,IDR,15000000,Net,Monthly,15 juta adalah gaji pokok. Masih ditambah jasa pelayanan medis yg bervariasi tiap bulannya tergantung jumlah pasien yang ada. Dan ini masih di satu RS. Dokter berhak untuk menambah SIP max 3 RS,
Safety Officer,Purchase to unlock 👆,5,East Borneo,ID,Male,IDR,10000000,Gross,Monthly,"Mess, Housing, Transportation, Akomodation for paid leave",
Data analyst,Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
Sr. Operations Manager,Purchase to unlock 👆,5,Jakarta Selatan,ID,Prefer not to tell,IDR,18500000,Net,Monthly,,
Software engineer,Traveloka,5,Jakarta,ID,Male,IDR,24500000,Net,Monthly,,
Manager,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,29500000,Gross,Monthly,,
Copywriter,Shopee,0,Bekasi,ID,Prefer not to tell,IDR,5200000,Gross,Monthly,,
Copywriter,Shopee,0,Bekasi,ID,Prefer not to tell,IDR,5200000,Gross,Monthly,,
Copywriter,Shopee,0,Bekasi,ID,Prefer not to tell,IDR,5200000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,11000000,Net,Monthly,,
Junior Consultant,Purchase to unlock 👆,5,Jakarta,ID,Prefer not to tell,IDR,8500000,Gross,Monthly,,
Data Analtytics,Purchase to unlock 👆,2,Jakarta,ID,Prefer not to tell,IDR,125000000,Net,Annual,"Employee Loan program, private assurance, etc",
Scrum Master,Purchase to unlock 👆,18,Jakarta,ID,Prefer not to tell,IDR,16000000,Net,Monthly,,
Business Intelligence,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,10000000,Net,Monthly,,
Senior Frontend Engineer,Purchase to unlock 👆,4,Jakarta,ID,Male,IDR,26500000,Net,Monthly,,
Qa tester entry level,Purchase to unlock 👆,1,Jakarta,ID,Male,IDR,5000000,Net,Monthly,,
Security Consultant,Purchase to unlock 👆,4,Jakarta,ID,Male,IDR,45000000,Net,Monthly,,
Game Tester,Purchase to unlock 👆,3,Surabaya,ID,Female,IDR,7000000,Gross,Monthly,,
Software engineer,Traveloka,1,Jakarta,ID,Male,IDR,12000000,Gross,Monthly,,
Senior Business Operations Associate,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,27000000,Gross,Monthly,,
Technical Lead,Purchase to unlock 👆,5,Jakarta,ID,Male,IDR,58000000,Gross,Monthly,,
Product Manager,Purchase to unlock 👆,6,Jakarta,ID,Prefer not to tell,IDR,33000000,Net,Monthly,,
Marcom Supervisor,Purchase to unlock 👆,10,Jakarta,ID,Prefer not to tell,IDR,14800000,Gross,Monthly,,
